iter	Passed	Remaining
0	51	12787
1	51	6412
2	52	4298
3	63	3925
4	64	3168
5	65	2663
6	66	2324
7	72	2194
8	73	1956
9	82	1984
10	84	1843
11	95	1891
12	99	1815
13	101	1706
14	105	1658
15	106	1559
16	106	1464
17	107	1379
18	107	1310
19	107	1241
20	108	1179
21	122	1269
22	126	1252
23	129	1217
24	129	1168
25	134	1160
26	134	1114
27	136	1080
28	136	1042
29	137	1009
30	137	974
31	146	996
32	160	1052
33	162	1029
34	163	1003
35	164	977
36	164	949
37	166	926
38	166	902
39	167	878
40	184	939
41	187	928
42	188	905
43	188	882
44	188	860
45	191	848
46	194	838
47	197	832
48	200	823
49	206	825
50	207	810
51	236	900
52	240	893
53	241	876
54	241	857
55	244	846
56	249	845
57	260	862
58	268	869
59	269	852
60	274	851
61	275	834
62	276	820
63	276	804
64	277	788
65	277	773
66	278	759
67	278	745
68	282	741
69	283	728
70	287	725
71	291	720
72	297	721
73	298	709
74	298	697
75	299	685
76	299	673
77	299	661
78	300	650
79	301	639
80	301	629
81	301	618
82	308	619
83	317	626
84	324	630
85	325	620
86	328	614
87	332	612
88	337	611
89	338	601
90	347	607
91	353	606
92	353	596
93	353	586
94	354	578
95	354	569
96	357	563
97	358	556
98	360	549
99	366	549
100	366	541
101	367	532
102	371	529
103	371	521
104	382	527
105	400	543
106	400	535
107	400	526
108	400	518
109	401	510
110	401	502
111	401	495
112	402	487
113	402	480
114	403	473
115	414	478
116	414	471
117	414	464
118	415	457
119	418	453
120	420	448
121	422	443
122	423	436
123	423	430
124	423	423
125	430	423
126	431	418
127	432	412
128	433	406
129	435	401
130	435	395
131	435	389
132	436	383
133	436	378
134	436	372
135	437	366
136	438	361
137	439	356
138	440	351
139	440	346
140	446	345
141	447	340
142	457	342
143	464	342
144	470	340
145	472	336
146	474	332
147	475	327
148	477	323
149	478	319
150	479	314
151	487	314
152	487	309
153	488	304
154	488	299
155	488	294
156	489	289
157	489	284
158	489	280
159	489	275
160	489	270
161	497	270
162	502	268
163	508	266
164	510	263
165	511	259
166	512	254
167	512	250
168	512	245
169	513	241
170	513	237
171	514	233
172	517	230
173	525	229
174	531	227
175	534	224
176	535	220
177	537	217
178	538	213
179	538	209
180	539	205
181	543	203
182	544	199
183	546	196
184	547	192
185	549	189
186	557	187
187	565	186
188	575	185
189	576	182
190	578	178
191	580	175
192	586	173
193	588	169
194	590	166
195	591	162
196	601	161
197	606	159
198	607	155
199	608	152
200	610	148
201	611	145
202	611	141
203	612	138
204	618	135
205	639	136
206	642	133
207	643	129
208	643	126
209	643	122
210	647	119
211	647	116
212	651	113
213	654	110
214	656	106
215	658	103
216	659	100
217	662	97
218	663	93
219	664	90
220	666	87
221	668	84
222	669	81
223	670	77
224	671	74
225	687	73
226	695	70
227	707	68
228	715	65
229	715	62
230	716	58
231	716	55
232	717	52
233	718	49
234	720	45
235	721	42
236	721	39
237	722	36
238	724	33
239	729	30
240	730	27
241	733	24
242	733	21
243	734	18
244	742	15
245	744	12
246	745	9
247	746	6
248	747	3
249	747	0
